type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
Movie,Miss Julie,Liv Ullmann,"Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy","Norway, United Kingdom, France, Ireland",02-Sep-15,2014,5,130 min,"Dramas, International Movies"
Movie,Miss Me This Christmas,Kenny Young,"Eva Marcille, Richard Gant, Redaric Williams, Allen Maldonado, Erica Ash, Brely Evans",United States,19-Dec-17,2017,6,85 min,Romantic Movies
Movie,Miss Representation,Jennifer Siebel Newsom,,United States,20-Oct-17,2011,4,90 min,Documentaries
TV Show,Miss Rose,,"Roy Chiu, Megan Lai, Paul Hsu, Tia Lee, Chunya Chao, Puff Kuo, Blaire Chang",Taiwan,01-Aug-16,2015,6.5,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Miss Sharon Jones!,Barbara Kopple,Sharon Jones,United States,07-Jan-17,2015,6.5,94 min,"Documentaries, Music & Musicals"
Movie,Miss Stevens,Julia Hart,"Lily Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nuñez, Rob Huebel",United States,19-Dec-16,2016,4,86 min,"Dramas, Independent Movies"
Movie,Mission Control: The Unsung Heroes of Apollo,David Fairhead,,"United States, United Kingdom",13-Aug-17,2017,6,100 min,Documentaries
Movie,Mission of Honor,David Blair,"Iwan Rheon, Milo Gibson, Stefanie Martini, Marcin Dorocinski, Krystof Hádek, Christopher Jaciow","United Kingdom, Poland",29-Jul-19,2018,6.5,107 min,"Action & Adventure, Dramas"
Movie,Mission: Destroy Love,Osman Ali,"Bront Palarae, Maya Karin, Remy Ishak, Izara Aishah, Azad Jazmin, Dira Abu Zahar, Zarina Zainuddin",Malaysia,07-Aug-17,2014,7,93 min,"Comedies, International Movies, Romantic Movies"
Movie,Mississippi Grind,"Anna Boden, Ryan Fleck","Ryan Reynolds, Ben Mendelsohn, Sienna Miller, Analeigh Tipton, Alfre Woodard, James Toback, Robin Weigert",United States,26-Jul-18,2015,5.5,109 min,"Dramas, Independent Movies"
Movie,Moh Maya Money,Munish Bhardwaj,"Ranvir Shorey, Neha Dhupia, Devendra Chowhan, Ashwath Bhatt, Vidushi Mehra, Anant Raina",India,01-May-17,2016,6.5,109 min,"Dramas, Independent Movies, International Movies"
Movie,Mohawk,Ted Geoghegan,"Kaniehtiio Horn, Eamon Farren, Justin Rain, Ezra Buzzington, Noah Segan, Ian Colletti, Robert Longstreet, Jon Huber, Jack Gwaltney, Sheri Foster, David La Haye",United States,30-Jun-18,2017,6.5,92 min,"Action & Adventure, Horror Movies, Independent Movies"
Movie,Mojave,William Monahan,"Garrett Hedlund, Oscar Isaac, Louise Bourgoin, Walton Goggins, Mark Wahlberg, Fran Kranz",United States,26-Jul-18,2015,5.5,93 min,"Dramas, Independent Movies, Thrillers"
Movie,Mokalik (Mechanic),Kunle Afolayan,"Tooni Afolayan, Ayo Ogunshina, Dayo Akinpelu, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji, Damilola Ogunsi, Rasaq Olayiwola, Ayo Adesanya, Wale Akorede, Toyosi Benjamin, Hamzat Sherifdeen, Samuel Olasehinde",Nigeria,01-Sep-19,2019,6,100 min,"Dramas, International Movies"
Movie,Molly's Game,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Jeremy Strong, Chris O'Dowd, J.C. MacKenzie, Brian d'Arcy James, Bill Camp, Graham Greene, Justin Kirk, Brian d’Arcy James","China, Canada, United States",01-Apr-20,2017,5.5,141 min,Dramas
TV Show,Momo Salon,,"Lizzy, Jung-min Park, Sang-hee Lee",South Korea,01-Jul-17,2014,6,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,Mona Lisa Smile,Mike Newell,"Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal, Juliet Stevenson, Dominic West, Ginnifer Goodwin, Topher Grace, John Slattery, Marcia Gay Harden",United States,01-Jan-19,2003,5,119 min,Dramas
Movie,Money,Martin Rosete,"Kellan Lutz, Jess Weixler, Jesse Williams, Jamie Bamber, Lucía Guerrero, Fredric Lehne","United States, Spain",15-Oct-17,2016,5.5,84 min,Thrillers
Movie,Money Talks,Brett Ratner,"Charlie Sheen, Chris Tucker, Heather Locklear, Paul Sorvino, Gérard Ismaël, Damian Chapa, Elise Neal, Michael Wright, Veronica Cartwright",United States,01-Nov-19,1997,5.5,96 min,"Action & Adventure, Comedies"
TV Show,Monkey Planet,,George McGavin,United Kingdom,31-Mar-17,2014,7,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
Movie,Monkey Up,Robert Vince,"Jonathan Mangum, Erin Allin O'Reilly, Kayden Magnuson, Danny Woodburn, Skylar Astin, John Ratzenberger, David Milchard",Canada,19-Mar-16,2016,4.5,83 min,"Children & Family Movies, Comedies"
Movie,Monopoly (The Bank Of Luck),Ahmed El Gendy,"Mohamed Mamdouh, Mohammed Tharwat, Akram Hosny",Egypt,15-Jun-19,2017,6.5,117 min,"Comedies, International Movies"
Movie,Monster Family,Holger Tappe,"Celia Imrie, Emily Watson, Catherine Tate, Jason Isaacs, Nick Frost, Jessica Brown Findlay","Germany, United Kingdom",04-Apr-18,2017,4.5,93 min,Children & Family Movies
Movie,Monster High 13 Wishes,Steve Sacks,"Erin Fitzgerald, Missi Hale, Marcus Griffin, Celeste Henderson, Evan Smith, Cindy Robinson, Julie Maddalena, Cam Clarke, Jonquil Goode",United States,01-Mar-18,2013,9,73 min,Children & Family Movies
Movie,"Monster High: Boo York, Boo York",William Lau,"Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey",United States,29-Sep-15,2015,9,72 min,"Children & Family Movies, Music & Musicals"
Movie,Monster High: Escape from Skull Shores,"Steve Ball, Andrew Duncan","Kate Higgins, Debi Derryberry, Salli Saffioti, Evan Smith, Laura Bailey, Audu Paden, Erin Fitzgerald, Cindy Robinson, Ogie Banks, Cam Clarke",United States,01-Jan-18,2012,9,46 min,Children & Family Movies
Movie,Monster High: Freaky Fusion,"William Lau, Sylvain Blais","Cam Clarke, Audu Paden, Laura Bailey, Cindy Robinson, Erin Fitzgerald, Kate Higgins, Salli Saffioti, Sue Swan, Haviland Stillwell, Paula Rhodes, America Young, Stephanie Sheh, Josey Montana McCoy",United States,30-Jan-18,2014,9,74 min,Children & Family Movies
Movie,Monster High: Friday Night Frights,Dustin McKenzie,"Laura Bailey, Ogie Banks, Cam Clarke, Debi Derryberry, Erin Fitzgerald, Kate Higgins, Julie Maddalena, Audu Paden, Cindy Robinson, Salli Saffioti, Evan Smith, America Young",United States,01-Jan-18,2013,9,46 min,Children & Family Movies
Movie,Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno","Kate Higgins, Debi Derryberry, Salli Saffioti, Laura Bailey, Yuri Lowenthal, Audu Paden, Cindy Robinson, Erin Fitzgerald, America Young, Ogie Banks",United States,01-Jan-18,2011,9,46 min,Children & Family Movies
Movie,"Monster High: Frights, Camera, Action!",William Lau,"Sue Swan, Kate Higgins, Celeste Henderson, Marcus Griffin, America Young, Karen Strassman, James Horan, Erin Fitzgerald, Laura Bailey, Yeni Alvarez",United States,01-Jan-18,2014,9,74 min,Children & Family Movies
Movie,Monster High: Ghouls Rule,"Mike Fetterly, Steve Sacks","Laura Bailey, Hank Banks, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Kate Higgins, Andrew Duncan",United States,01-Mar-18,2012,9,71 min,Children & Family Movies
Movie,Monster High: Great Scarrier Reef,William Lau,"Larissa Galagher, Kate Higgins, Debi Derryberry, Salli Saffioti, America Young, Evan Smith, Lyndsy Kail, Rachel Staman, Cherami Leigh, Paula Rhodes, Erin Fitzgerald",United States,01-Oct-17,2016,9,72 min,Children & Family Movies
Movie,Monster High: Haunted,"Dan Fraga, William Lau",,United States,24-Mar-18,2015,9,76 min,Children & Family Movies
Movie,Monster High: New Ghoul at School,"Audu Paden, Eric Radomski","Kate Higgins, Salli Saffioti, Debi Derryberry, Laura Bailey, Yuri Lowenthal, Audu Paden, Troy Baker, Erin Fitzgerald",United States,01-Oct-17,2010,9,23 min,Children & Family Movies
Movie,"Monster High: Scaris, City of Frights","Dustin McKenzie, Andrew Duncan, Audu Paden","Laura Bailey, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Celeste Henderson, Kate Higgins, Jonathan Lipow, Julie Maddalena, Dustin McKenzie, Audu Paden",United States,07-Jul-15,2013,5,60 min,Children & Family Movies
Movie,Monster High: Why Do Ghouls Fall in Love?,"Dustin McKenzie, Steve Sacks","Laura Bailey, Ogie Banks, Cam Clarke, Debi Derryberry, Erin Fitzgerald, Kate Higgins, Jonathan Lipow, Audu Paden, Cindy Robinson, Salli Saffioti, Evan Smith, America Young",United States,01-Jan-18,2013,9,46 min,Children & Family Movies
TV Show,Monster Math Squad,,"Julie Sype, Cory Doran, Annick Obonsawin, Jenna Warren",Canada,15-May-20,2012,8,2 Seasons,Kids' TV
Movie,Monster-in-Law,Robert Luketic,"Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes, Adam Scott, Monet Mazur, Annie Parisse, Will Arnett, Elaine Stritch, Stephen Dunham","United States, Germany",01-Jan-20,2005,5,101 min,"Comedies, Romantic Movies"
TV Show,Monty Don's French Gardens,Rachel Bell,,United Kingdom,26-Jul-19,2013,5,1 Season,"British TV Shows, Docuseries, International TV Shows"
TV Show,Monty Don's Italian Gardens,,Monty Don,United Kingdom,26-Jul-19,2011,5,1 Season,"British TV Shows, Docuseries, International TV Shows"
Movie,Moon,Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, Adrienne Shaw, Kaya Scodelario, Benedict Wong, Matt Berry, Malcolm Stewart, Robin Chalk","United Kingdom, United States",01-Jan-20,2009,5.5,97 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
Movie,Moonlight,Barry Jenkins,"Trevante Rhodes, André Holland, Janelle Monáe, Ashton Sanders, Jharrel Jerome, Alex Hibbert, Jaden Piner, Naomie Harris, Mahershala Ali",United States,21-May-19,2016,5.5,111 min,"Dramas, Independent Movies, LGBTQ Movies"
Movie,Moonwalkers,Antoine Bardou-Jacquet,"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium",08-Sep-17,2015,5.5,96 min,"Action & Adventure, Comedies, International Movies"
Movie,Moor,Jami,"Hameed Sheikh, Samiya Mumtaz, Shaz Khan, Abdul Qadir, Shabbir Rana, Sultan Hussain, Ayaz Samoo, Nayyar Ejaz, Sonia Hussain","Pakistan, United States",01-Nov-17,2015,6,135 min,"Dramas, Independent Movies, International Movies"
Movie,Morris from America,Chad Hartigan,"Markees Christmas, Craig Robinson, Lina Keller, Carla Juri, Jakub Gierszal, Levin Henning, Eva Loebau","Germany, United States",01-Nov-18,2016,5.5,91 min,"Dramas, Independent Movies, International Movies"
Movie,Mortified Nation,Michael Mayer,,United States,01-Feb-18,2013,6.5,84 min,Documentaries
Movie,Morya,Avadhoot Gupte,"Santosh Juvekar, Chinmay Mandlekar, Pari Telang, S. Joshi, Dilip Prabhavalkar, Ganesh Yadav, Pushkar Shrotri",India,15-Feb-18,2011,6,121 min,"Dramas, International Movies"
Movie,Motu Patlu: King of Kings,Suhas Kadav,"Saurav Chakrabarty, Vinay Pathak",India,06-Jul-17,2016,9.5,109 min,"Children & Family Movies, Comedies"
Movie,Mountain,Jennifer Peedom,,Australia,01-Oct-18,2017,4.5,74 min,"Action & Adventure, Documentaries, International Movies"
Movie,Movie 43,"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn","Greg Kinnear, Dennis Quaid, Common, Seth MacFarlane, Will Sasso, Hugh Jackman, Kate Winslet, Liev Schreiber, Naomi Watts, Anna Faris, Chris Pratt, J.B. Smoove, Kieran Culkin, Emma Stone, Cathy Cliften, Kristen Bell, Leslie Bibb, Bobby Cannavale, John Hodgman, Justin Long, Jason Sudeikis, Uma Thurman, Phil Crowley, Kate Bosworth, Richard Gere, Jack McBrayer, Aasif Mandvi, Christopher Mintz-Plasse, Chloë Grace Moretz, Matt Walsh, Patrick Warburton, Gerard Butler, Johnny Knoxville, Seann William Scott, Halle Berry, Stephen Merchant, Terrence Howard, Elizabeth Banks, Josh Duhamel",United States,09-Apr-19,2013,5.5,94 min,Comedies
Movie,Mr. Church,Bruce Beresford,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel, Lucy Fry, Christian Madsen, Natalie Coughlin, Madison Wolfe, Thom Barry, Mckenna Grace",United States,22-Dec-18,2016,5,105 min,Dramas
Movie,Mr. Deeds,Steve Brill,"Adam Sandler, Winona Ryder, Peter Gallagher, Jared Harris, Allen Covert, Erick Avari, John Turturro, Peter Dante, Conchata Ferrell, Steve Buscemi",United States,01-Aug-20,2002,5,97 min,"Comedies, Romantic Movies"
Movie,Mr. Gaga: A True Story of Love and Dance,Tomer Heymann,Ohad Naharin,"Israel, Sweden, Germany, Netherlands",15-Jun-17,2015,6,102 min,"Documentaries, International Movies"
Movie,Mr. Virgin,Anthony Chan,"Olivia Cheng, Alfred Cheung, Hu Chin, Chung Ping Geung, Anglie Leung",Hong Kong,16-Aug-18,1984,6,86 min,"Comedies, Dramas, International Movies"
Movie,Mr. Woodcock,Craig Gillespie,"Billy Bob Thornton, Seann William Scott, Ethan Suplee, Melissa Sagemiller, Susan Sarandon, Melissa Leo, Bill Macy, Kurt Fuller, Amy Poehler",United States,01-Sep-19,2007,5,88 min,Comedies
TV Show,Mr. Young,,"Brendan Meyer, Matreya Fedor, Gig Morton, Kurt Ostlund, Emily Tennant, Milo Shandel",Canada," April 16, 2019",2013,5,2 Seasons,"Kids' TV, TV Comedies"
Movie,Ms. Mammy,Wael Ihsan,"Yasmin Abdulaziz, Hassan El Raddad, Ahmed Fouad Selim, Entessar, Hesham Ismail, Badria Tolba, Ghassan Mattar, Eman El-Sayed, Saad El Soghayar, Soleiman Eid, Youssef Eid, Hassan Abdulfattah, Mohamed Lotfy, Hala Fakher",Egypt,06-Jun-19,2012,6,90 min,"Comedies, International Movies"
Movie,Mud,Jeff Nichols,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland, Sam Shepard, Ray McKinnon, Sarah Paulson, Michael Shannon, Joe Don Baker, Paul Sparks",United States,01-Jan-21,2012,5,131 min,"Dramas, Independent Movies"
Movie,Mujhse Shaadi Karogi,David Dhawan,"Rajpal Yadav, Amrish Puri, Kader Khan, Shashi Kala, Priyanka Chopra, Salman Khan, Akshay Kumar, Satish Shah",India,31-Dec-19,2004,7,158 min,"Comedies, International Movies, Romantic Movies"
Movie,Mune: Guardian of the Moon,"Alexandre Heboyan, Benoît Philippon","Joshua J. Ballard, Nicole Provost, Trevor Devall, Michael Dobson, Jonathan Love, Davey Grant",France,26-Jan-18,2014,4.5,85 min,Children & Family Movies
Movie,Muppets Most Wanted,James Bobin,"Ricky Gervais, Ty Burrell, Tina Fey, Kermit the Frog, Miss Piggy, Fozzie Bear, Gonzo, Muppets, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz",United States,01-Sep-20,2014,4.5,110 min,"Children & Family Movies, Comedies"
Movie,Murder Party,Jeremy Saulnier,"Alex Barnett, Macon Blair, Paul Goldblatt, Stacy Rock, William Lacey, Beau Sia, Skei Saulnier, Chris Sharp, Bill Tangradi",United States,01-Sep-18,2007,4,79 min,"Comedies, Cult Movies, Horror Movies"
TV Show,Murderous Affairs,,,United States,17-Apr-18,2017,6.5,3 Seasons,"Crime TV Shows, Docuseries"
TV Show,Mutant Busters,,"Dermot Arrigan, James Giblin, Noah Levin, Molly Malcolm, Colin Morgan, Benjamin Nathan-Serio, Alex Wagner, Joshua Zamrycki",Spain," June 1, 2017",2017,7,2 Seasons,"Kids' TV, TV Comedies"
Movie,Mutiny on the Bounty,"Lewis Milestone, Carol Reed","Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith, Richard Haydn, Tarita",United States,01-Nov-19,1962,7,185 min,"Action & Adventure, Classic Movies, Dramas"
Movie,My Babysitter's a Vampire: The Movie,Bruce McDonald,"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Joe Dinicol, Ella Jonas Farlinger, Ari Cohen, Laura de Carteret, Hrant Alianak",Canada,17-Oct-18,2010,7,80 min,"Children & Family Movies, Comedies"
Movie,My Brother ... Nikhil,Onir,"Juhi Chawla, Sanjay Suri, Victor Banerjee, Lillete Dubey, Purab Kohli, Dipannita Sharma, Gautam Kapoor",India,30-Oct-18,2005,7,116 min,"Dramas, Independent Movies, International Movies"
Movie,My Daddy is in Heaven,Waymon Boone,"Jenn Gotzon Chandler, Corbin Bernsen, Lorenzo Lamas, T.C. Stallings, Jill Morrison, Lane Garrison, Jake Jacobson, Lee Benton, Riley St. John, Cricket St. John",United States,12-Jun-18,2017,6,95 min,"Dramas, Faith & Spirituality"
Movie,My Dog is My Guide,Ismail Farouk,"Sameh Hussain, Hasan Abdulfattah, Sulayman Id, Ayten Amer, Hassan Hosny",Egypt,18-Apr-19,2013,6,99 min,"Comedies, International Movies"
Movie,My Entire High School Sinking Into the Sea,Dash Shaw,"Jason Schwartzman, Lena Dunham, Reggie Watts, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, Louisa Krause, John Cameron Mitchell, Matthew Maher",United States,23-Jan-18,2016,5,77 min,"Comedies, Independent Movies"
Movie,My Ex-Ex,Nathaniel Warsh,"André Bharti, Katherine Barrell, Ray Galletti, Emily Alatalo, Tamara Duarte, Randal Edwards, Alastair Forbes, Jesse Camacho",Canada,15-Aug-17,2015,6.5,91 min,"Comedies, Romantic Movies"
Movie,My Honor Was Loyalty,Alessandro Pepe,"Leone Frisa, Paolo Vaccarino, Francesco Migliore, Albrecht Weimer, Giulia Dichiaro, Alessandra Oriti Niosi, Andreas Segeritz",Italy,01-Mar-17,2015,6.5,115 min,Dramas
TV Show,My Hotter Half,,Melvin Odoom,United Kingdom,22-Jul-19,2017,7,1 Season,"British TV Shows, International TV Shows, Reality TV"
Movie,My Life as a Zucchini,Claude Barras,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz, Raul Ribera, Estelle Hennard, Elliot Sanchez, Lou Wick, Brigitte Rosset, Natacha Koutchoumov, Monica Budde, Adrien Barazzone, Will Forte, Nick Offerman, Ellen Page, Amy Sedaris","Switzerland, France",01-Oct-17,2016,5,68 min,"Comedies, Dramas, International Movies"
TV Show,My Life My Story,,RJ Anmol,,01-Nov-17,2017,6,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows"
Movie,My Little Pony Equestria Girls: Friendship Games,"Ishi Rudell, Jayson Thiessen","Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Iris Quinn, Nicole Oliver","United States, Canada",01-Dec-15,2015,8,72 min,"Children & Family Movies, Comedies"
Movie,My Little Pony Equestria Girls: Rainbow Rocks,"Jayson Thiessen, Ishi Rudell","Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Rebecca Shoichet, Maryke Hendrikse, Kazumi Evans, Diana Kaarina","United States, Canada",17-Dec-14,2014,8,73 min,"Children & Family Movies, Comedies"
Movie,My Only Mother,Wenn V. Deramas,"Ai-Ai de las Alas, Marvin Agustin, Carlo Aquino, Heart Evangelista, Nikki Valdez, Shaina Magdayao, Serena Dalrymple, Jiro Manio",,04-Mar-19,2013,6,104 min,"Comedies, Dramas, International Movies"
Movie,"My Schoolmate, the Barbarian","Siu-hung Chung, Wong Jing","Nicholas Tse, Stephen Fung, Joey Yung, Samuel Pang, Serena Po, Ken Chung, Hyper BB, Ka Ho Yu, Frankie Chi-Hung Ng, Lai Hing Chan",Hong Kong,16-Aug-18,2001,6,90 min,"Action & Adventure, Comedies, International Movies"
Movie,My Scientology Movie,John Dower,Louis Theroux,United Kingdom,13-Jul-17,2015,6.5,99 min,Documentaries
Movie,My Sister's Keeper,Nick Cassavetes,"Cameron Diaz, Abigail Breslin, Alec Baldwin, Jason Patric, Sofia Vassilieva, Joan Cusack, Heather Wahlquist, Thomas Dekker, Evan Ellingson, David Thornton",United States,01-Sep-19,2009,5,109 min,Dramas
TV Show,My Tattoo Addiction,,Julian Barratt,United Kingdom,01-Feb-19,2013,6.5,1 Season,"British TV Shows, Docuseries"
Movie,My True Friend,Atsajun Sattakovit,"Mario Maurer, Natcha Juntapan, Monchanok Saengchaipiangpen, Nawapaiboon Wuthinanon, Kamolned Ruengsri, Sirapop Daongern, Rakchawan Maroukasonti, Poom Rungsrithananon, Patsomtat Sudprasert, Ranee Campen",Thailand,25-Jul-18,2012,6.5,108 min,"Action & Adventure, Dramas, International Movies"
Movie,My Week with Marilyn,Simon Curtis,"Michelle Williams, Kenneth Branagh, Eddie Redmayne, Dominic Cooper, Philip Jackson, Derek Jacobi, Toby Jones, Michael Kitchen, Julia Ormond, Simon Russell Beale, Dougray Scott, Zoë Wanamaker, Emma Watson, Judi Dench","United Kingdom, United States",30-May-19,2011,5.5,99 min,"Dramas, Romantic Movies"
Movie,My Wife and My Wifey,Moataz El Tony,"Ramez Galal, Shery Adel, Hassan Hosny, Samy Maghawry, Youssef Eid, Raja Al-Jeddawi, Edward",,18-Apr-19,2014,6,99 min,"Comedies, International Movies"
TV Show,Mystery Science Theater 3000,,"Joel Hodgson, Michael J. Nelson, Kevin Murphy, Trace Beaulieu, Jim Mallon, Frank Conniff, Mary Jo Pehl, Bill Corbett, Patrick Brantseg, J. Elvis Weinstein",United States,15-Mar-18,1999,6,1 Season,"TV Comedies, TV Sci-Fi & Fantasy"
Movie,Mythily Veendum Varunnu,Sabu Varghese,"Udhay, Kiran Raj, I.M. Vijayan, Sandhanam, Shivani Bhai, Sangeetha Balan",India,01-Aug-18,2017,7,88 min,"Horror Movies, International Movies"
Movie,Nacho Libre,Jared Hess,"Jack Black, Ana de la Reguera, Héctor Jiménez, Darius Rose, Moises Arias, Diego Eduardo Gomez, Carlos Maycotte, Richard Montoya, Cesar Gonzalez, Rafael Montalvo","United States, Mexico",01-Nov-19,2006,4.5,92 min,"Comedies, Sports Movies"
Movie,Naga The Eternal Yogi,"Krishna Agazzi, Filippo Gastaldi",,"Italy, India",05-Feb-17,2016,7,73 min,"Documentaries, International Movies"
Movie,Nails,Dennis Bartok,"Leah McNamara, Shauna Macdonald, Steve Wall, Ross Noble, Charlotte Bradley, Richard Foster-King, Dennis Bartok, Robert O'Mahoney, Muireann D'Arcy",Ireland,10-Mar-18,2017,6.5,85 min,Horror Movies
Movie,Naledi: A Baby Elephant's Tale,"Ben Bowie, Geoff Luck",,"United States, Botswana",28-May-20,2016,7,91 min,Documentaries
Movie,Namak Halaal,Prakash Mehra,"Amitabh Bachchan, Shashi Kapoor, Parveen Babi, Smita Patil, Waheeda Rehman, Om Prakash, Ranjeet, Satyendra Kapoor",India,31-Dec-19,1982,6,171 min,"Action & Adventure, Comedies, International Movies"
Movie,Namour,Heidi Saman,"Karim Saleh, Waleed Zuaiter, Nicole Haddad, Mona Hala, Wedad Abdel Aziz Abdou, Lavrenti Lopes, Jessica Lu, Amin El Gamal, Melina Lizette, Tom Lenk, Terry Walters",United States,15-Mar-17,2016,4,80 min,"Dramas, Independent Movies"
Movie,Naruto Shippuden : Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,01-Sep-17,2011,6,102 min,"Action & Adventure, Anime Features, International Movies"
Movie,Natalia Valdebenito: Gritona,Natalia Valdebenito,Natalia Valdebenito,United States,10-Nov-17,2017,6.5,76 min,Stand-Up Comedy
Movie,National Bird,Sonia Kennebeck,,United States,08-May-17,2016,6.5,92 min,Documentaries
Movie,National Lampoon's Loaded Weapon 1,Gene Quintano,"Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry, Kathy Ireland, Frank McRae, William Shatner, Dhiru Shah, Gokul, Thomas Bruggemann",,01-Nov-19,1993,5,82 min,"Action & Adventure, Comedies, Independent Movies"
Movie,National Parks Adventure,Greg MacGillivray,Robert Redford,United States,01-Feb-18,2016,5,42 min,Documentaries
Movie,National Treasure,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer",United States,01-Jun-18,2004,4.5,131 min,"Action & Adventure, Children & Family Movies"
Movie,Natsamrat - Asa Nat Hone Nahi,Mahesh Manjrekar,"Nana Patekar, Medha Manjrekar, Mrinmayee Deshpande, Sunil Barve, Vikram Gokhale, Neha Pendse",India,01-Jun-18,2016,6,165 min,"Dramas, International Movies"
Movie,Natural Born Pranksters,"Roman Atwood, Ben Pluimer","Roman Atwood, Vitaly Zdorovetskiy, Dennis Roady",United States,15-Sep-16,2016,5.5,91 min,Comedies
Movie,Natural Selection,Chad L. Scheifele,"Mason Dye, Ryan Munzert, Anthony Michael Hall, Amy Carlson, Katherine McNamara, Tyler Elliot Burke, Esther Zynn, Ryan Boudreau",United States,01-Dec-16,2015,5.5,101 min,"Dramas, Independent Movies"
TV Show,Nature: Animals With Cameras,,Gordon Buchanan,"United Kingdom, United States",01-Oct-18,2018,7,1 Season,"Docuseries, Science & Nature TV"
TV Show,NATURE: Natural Born Hustlers,,Kevin Draine,United States,01-Mar-17,2016,5,1 Season,"Docuseries, Science & Nature TV"
Movie,Nature: Raising the Dinosaur Giant,,David Attenborough,United States,01-Mar-17,2016,5,53 min,Documentaries
TV Show,Nature's Great Events (2009),,David Attenborough,"United States, United Kingdom",10-Oct-15,2009,7,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
TV Show,Nature's Great Events: Diaries,,David Attenborough,"United States, United Kingdom",22-Apr-15,2009,7,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
TV Show,Nature's Great Race,,Liz Bonnin,United Kingdom,01-Oct-17,2016,7,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
TV Show,Nature's Weirdest Events,,Chris Packham,United Kingdom," September 1, 2019",2015,7,3 Seasons,"British TV Shows, Docuseries, Science & Nature TV"
Movie,Nazi Concentration Camps,George Stevens,,United States,31-Mar-17,1945,6.5,59 min,"Classic Movies, Documentaries"
TV Show,Nazi Mega Weapons,,,United States," March 1, 2017",2016,7,3 Seasons,Docuseries
Movie,Neruda,Pablo Larraín,"Luis Gnecco, Gael García Bernal, Mercedes Morán, Emilio Gutiérrez Caba, Diego Muñoz, Alejandro Goic, Pablo Derqui, Marcelo Alonso","Chile, Argentina, France, Spain, United States",26-Jun-17,2016,5.5,108 min,"Dramas, International Movies"
Movie,Never Heard,Josh Webber,"Romeo Miller, David Banner, Robin Givens, Karrueche Tran, Dijon Talton, Dorien Wilson, Karen Abercrombie, Kandi Burruss, Brian White, Jackie Long",United States,15-Feb-19,2018,7,89 min,"Dramas, Faith & Spirituality"
Movie,New York Minute,Dennie Gordon,"Mary-Kate Olsen, Ashley Olsen, Eugene Levy, Andy Richter, Riley Smith, Jared Padalecki, Drew Pinsky, Darrell Hammond, Andrea Martin, Alannah Ong, Mary Bond Davis, Bob Saget, Jack Osbourne",United States,01-Jan-20,2004,4.5,91 min,"Children & Family Movies, Comedies"
Movie,Newtown,Kim A. Snyder,,United States,07-Apr-17,2016,4,84 min,Documentaries
